Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,False
Ford,Fiesta,1.4,Petrol,2021,10723,27931,Volkswagen
Toyota,Yaris,1.4,Hybrid,2016,53375,21722,Volkswagen
Ford,Focus,1.4,Petrol,2021,15358,39513,Volkswagen
BMW,M5,4.0,Petrol,2010,73374,44852,Volkswagen
Volkswagen,Passat,1.6,Petrol,2007,159865,6334,Volkswagen
Porsche,911,2.2,Petrol,1987,366648,652,Volkswagen
Volkswagen,Golf,1.6,Diesel,1999,67194,6293,Volkswagen
Volkswagen,Golf,2.0,Diesel,2008,99161,10262,Volkswagen
Ford,Fiesta,1.2,Petrol,2001,74338,4642,Volkswagen
Ford,Fiesta,1.0,Petrol,2010,77265,7569,Volkswagen
Ford,Focus,1.8,Petrol,1993,185895,2023,Volkswagen
Ford,Fiesta,1.4,Petrol,1998,174198,1898,Volkswagen
Toyota,Yaris,1.4,Hybrid,2006,92795,8548,Volkswagen
Ford,Mondeo,2.0,Hybrid,2019,28243,45758,Volkswagen
Volkswagen,Polo,2.0,Diesel,1999,188922,2303,Volkswagen
Volkswagen,Polo,1.0,Petrol,1991,311798,293,Volkswagen
Ford,Fiesta,1.2,Hybrid,1985,149258,1091,Volkswagen
Volkswagen,Polo,1.0,Diesel,1993,134333,1720,Volkswagen
Toyota,Prius,1.0,Hybrid,2005,112157,7620,Volkswagen
Ford,Mondeo,1.8,Diesel,1994,357576,454,Volkswagen
Ford,Mondeo,1.8,Petrol,2012,24006,23234,Volkswagen
Volkswagen,Golf,1.6,Petrol,1997,13000,7254,Volkswagen
Toyota,Prius,1.4,Hybrid,2003,69083,10720,Volkswagen
Toyota,RAV4,2.0,Hybrid,1997,125292,6719,Volkswagen
Ford,Fiesta,1.4,Petrol,1989,275414,418,Volkswagen
Volkswagen,Golf,2.0,Hybrid,2010,27118,21424,Volkswagen
Toyota,RAV4,2.0,Hybrid,1995,160516,4426,Volkswagen
BMW,M5,4.4,Petrol,1994,252941,3684,Volkswagen
Porsche,Cayenne,2.6,Diesel,2017,45782,57438,Volkswagen
Ford,Fiesta,1.0,Petrol,2011,37743,10417,Volkswagen
Volkswagen,Golf,1.6,Petrol,2008,59315,11497,Volkswagen
Porsche,Cayenne,4.0,Diesel,2007,80642,29135,Volkswagen
Ford,Mondeo,1.8,Diesel,2020,10330,44790,Volkswagen
Toyota,Prius,1.4,Hybrid,2003,110159,8010,Volkswagen
BMW,Z4,3.0,Petrol,1998,127972,6493,Volkswagen
Toyota,Yaris,1.2,Hybrid,1993,274706,707,Volkswagen
Toyota,RAV4,2.0,Petrol,2000,133822,6396,Volkswagen
Porsche,911,2.6,Petrol,1996,249291,3959,Volkswagen
Toyota,Prius,1.4,Hybrid,1996,123958,4521,Volkswagen
Volkswagen,Passat,1.8,Diesel,1998,143694,4420,Volkswagen
Porsche,718 Cayman,2.4,Petrol,2007,84982,17612,Volkswagen
Porsche,718 Cayman,2.0,Petrol,1995,182372,3352,Volkswagen
Toyota,RAV4,1.8,Hybrid,2015,47430,36536,Volkswagen
Toyota,Yaris,1.2,Hybrid,1993,122626,2663,Volkswagen
BMW,Z4,3.0,Petrol,2017,12739,49584,Volkswagen
Toyota,Yaris,1.0,Petrol,1994,147300,1780,Volkswagen
Toyota,Prius,1.0,Hybrid,2009,102977,10653,Volkswagen
Porsche,911,2.2,Petrol,2001,155456,11613,Volkswagen
Ford,Mondeo,1.6,Diesel,2004,133924,6363,Volkswagen
BMW,Z4,3.0,Petrol,2018,18677,51332,Volkswagen
Porsche,718 Cayman,2.0,Petrol,2009,83534,18558,Volkswagen
BMW,M5,4.0,Petrol,2016,35712,84916,Volkswagen
Ford,Fiesta,1.0,Petrol,1996,97127,2587,Volkswagen
Volkswagen,Polo,1.6,Petrol,1995,56143,4156,Volkswagen
BMW,Z4,2.4,Petrol,2004,71356,13092,Volkswagen
Ford,Fiesta,1.2,Petrol,2010,83144,7961,Volkswagen
Toyota,Prius,1.0,Hybrid,1989,67549,3599,Volkswagen
Volkswagen,Polo,2.0,Petrol,2018,29084,25359,Volkswagen
Volkswagen,Polo,1.6,Petrol,1990,274282,495,Volkswagen
Porsche,718 Cayman,2.0,Petrol,2017,17944,47606,Volkswagen
Ford,Focus,2.0,Petrol,1993,176355,2314,Volkswagen
Toyota,RAV4,1.8,Hybrid,1997,214573,3004,Volkswagen
BMW,X3,2.0,Diesel,1996,192345,2996,Volkswagen
Volkswagen,Passat,1.4,Diesel,2018,24879,33745,Volkswagen
Toyota,Prius,1.8,Hybrid,1994,111420,4937,Volkswagen
Toyota,Prius,1.8,Hybrid,2002,107090,8694,Volkswagen
Toyota,Yaris,1.4,Hybrid,2016,38867,23743,Volkswagen
Ford,Fiesta,1.0,Petrol,2005,143995,3288,Volkswagen
Ford,Focus,1.4,Petrol,2002,92475,6848,Volkswagen
Toyota,Yaris,1.4,Petrol,2004,125953,4864,Volkswagen
BMW,M5,5.0,Petrol,1995,234128,4991,Volkswagen
Toyota,RAV4,1.8,Hybrid,2011,51067,27360,Volkswagen
Toyota,Yaris,1.2,Hybrid,1985,199231,826,Volkswagen
Volkswagen,Passat,2.0,Petrol,2008,98891,12204,Volkswagen
Ford,Focus,1.4,Petrol,2002,113397,5870,Volkswagen
Toyota,RAV4,2.2,Hybrid,2002,131707,9353,Volkswagen
Volkswagen,Golf,1.2,Diesel,2008,112062,7223,Volkswagen
Volkswagen,Golf,1.6,Diesel,1997,73240,5289,Volkswagen
Toyota,Prius,1.0,Hybrid,1993,110737,3460,Volkswagen
Porsche,718 Cayman,2.0,Petrol,2002,121334,8813,Volkswagen
Toyota,Yaris,1.4,Hybrid,2011,60005,14919,Volkswagen
BMW,X3,2.0,Diesel,1995,178186,3168,Volkswagen
Porsche,718 Cayman,2.0,Petrol,1994,189596,2946,Volkswagen
Toyota,RAV4,1.8,Hybrid,1992,258529,1440,Volkswagen
Volkswagen,Polo,1.2,Petrol,2010,90989,7731,Volkswagen
Ford,Mondeo,1.4,Diesel,2009,88742,11668,Volkswagen
BMW,Z4,3.0,Petrol,2010,78030,20870,Volkswagen
Ford,Mondeo,2.0,Diesel,1992,177155,2237,Volkswagen
Toyota,Prius,1.4,Hybrid,2009,100426,12843,Volkswagen
Toyota,Prius,1.0,Hybrid,2002,132942,5312,Volkswagen
Volkswagen,Golf,1.8,Diesel,1996,149828,2953,Volkswagen
Ford,Focus,1.4,Petrol,2019,35120,30941,Volkswagen
Toyota,RAV4,1.8,Petrol,2005,119587,9462,Volkswagen
Volkswagen,Golf,1.2,Petrol,1996,203459,1453,Volkswagen
Toyota,RAV4,2.2,Petrol,2011,86841,19866,Volkswagen
Volkswagen,Golf,2.0,Petrol,2017,23013,29136,Volkswagen
Toyota,Yaris,1.4,Hybrid,1994,200563,1607,Volkswagen
Ford,Fiesta,1.2,Petrol,2011,86109,8335,Volkswagen
Ford,Mondeo,1.4,Diesel,2008,94275,10493,Volkswagen
Toyota,Prius,1.8,Hybrid,1991,267533,1054,Volkswagen
BMW,M5,4.4,Petrol,2015,28583,86833,Volkswagen
Volkswagen,Golf,1.4,Diesel,2015,33606,21087,Volkswagen
Ford,Mondeo,1.4,Petrol,2006,87776,9160,Volkswagen
Ford,Mondeo,1.8,Petrol,2003,125764,6411,Volkswagen
Volkswagen,Passat,1.4,Diesel,1999,147213,4050,Volkswagen
Toyota,RAV4,2.2,Petrol,1995,172966,3484,Volkswagen
Volkswagen,Golf,1.8,Petrol,1998,71138,5793,Volkswagen
Volkswagen,Golf,1.2,Diesel,2019,30223,25994,Volkswagen
Volkswagen,Golf,2.0,Diesel,1997,100934,4865,Volkswagen
Volkswagen,Polo,1.6,Petrol,2017,34434,20572,Volkswagen
Toyota,Prius,1.4,Hybrid,1991,240845,1190,Volkswagen
Volkswagen,Passat,1.8,Diesel,1994,205353,2004,Volkswagen
Ford,Fiesta,1.2,Petrol,2009,39553,9880,Volkswagen
BMW,M5,5.0,Petrol,2011,82071,50503,Volkswagen
Volkswagen,Passat,1.6,Diesel,1984,256568,609,Volkswagen
Volkswagen,Golf,1.4,Diesel,2018,38275,25058,Volkswagen
BMW,M5,4.4,Petrol,2007,121512,27166,Volkswagen
Ford,Focus,1.8,Diesel,2017,38766,31552,Volkswagen
Volkswagen,Golf,1.8,Petrol,1997,176449,2406,Volkswagen
Volkswagen,Polo,1.6,Petrol,2008,99701,7337,Volkswagen
Volkswagen,Polo,1.6,Petrol,1987,299002,321,Volkswagen
Toyota,Yaris,1.4,Hybrid,2016,74594,18905,Volkswagen
Ford,Fiesta,1.2,Petrol,2006,120449,4637,Volkswagen
Volkswagen,Polo,1.6,Petrol,2000,194667,1994,Volkswagen
Volkswagen,Golf,1.6,Petrol,1992,151243,2007,Volkswagen
Volkswagen,Polo,2.0,Petrol,2012,43749,15590,Volkswagen
Toyota,Prius,1.0,Hybrid,1990,136309,2324,Volkswagen
Ford,Mondeo,1.8,Diesel,2001,229004,2447,Volkswagen
BMW,Z4,2.0,Petrol,2019,19048,44711,Volkswagen
Volkswagen,Polo,1.2,Petrol,2008,103754,6167,Volkswagen
Ford,Fiesta,1.2,Petrol,2016,44260,15314,Volkswagen
Volkswagen,Golf,1.4,Petrol,2013,52011,15723,Volkswagen
Toyota,RAV4,2.4,Hybrid,2005,154461,9930,Volkswagen
Porsche,718 Cayman,2.0,Petrol,2012,99109,20282,Volkswagen
Porsche,718 Cayman,2.4,Petrol,2008,119157,14646,Volkswagen
Toyota,Prius,1.4,Hybrid,2012,52989,21681,Volkswagen
BMW,M5,4.0,Petrol,2003,141690,16921,Volkswagen
Volkswagen,Passat,1.4,Diesel,2001,43458,9746,Volkswagen
Volkswagen,Polo,1.0,Petrol,1993,193695,997,Volkswagen
Toyota,RAV4,1.8,Hybrid,1997,189974,3733,Volkswagen
Volkswagen,Polo,1.4,Petrol,2021,14043,28165,Volkswagen
BMW,Z4,3.0,Petrol,1994,118639,5346,Volkswagen
Toyota,Prius,1.8,Hybrid,2015,22808,35917,Volkswagen
Volkswagen,Polo,2.0,Petrol,2015,21524,21665,Volkswagen
BMW,X3,2.4,Diesel,2003,127312,8982,Volkswagen
Volkswagen,Polo,1.4,Petrol,1995,109380,2685,Volkswagen
Volkswagen,Polo,1.0,Petrol,2017,24552,17211,Volkswagen
Toyota,Prius,1.0,Hybrid,2013,52934,19594,Volkswagen
BMW,Z4,3.0,Petrol,2004,9500,21202,Volkswagen
Ford,Mondeo,2.0,Petrol,2010,61298,17106,Volkswagen
Porsche,718 Cayman,2.0,Petrol,1992,214651,2067,Volkswagen
Ford,Mondeo,1.6,Diesel,2007,69432,12468,Volkswagen
Porsche,911,2.2,Petrol,2015,65200,57993,Volkswagen
Volkswagen,Golf,1.4,Petrol,2002,190899,2614,Volkswagen
Volkswagen,Polo,1.0,Petrol,2018,34229,17406,Volkswagen
Volkswagen,Golf,1.2,Petrol,2014,47545,15998,Volkswagen
Ford,Fiesta,1.4,Petrol,2020,19725,24894,Volkswagen
Volkswagen,Golf,2.0,Petrol,1995,120849,3491,Volkswagen
Volkswagen,Passat,2.0,Petrol,2003,126454,7102,Volkswagen
Porsche,Cayenne,4.0,Petrol,2009,57977,36875,Volkswagen
Toyota,Prius,1.4,Hybrid,2007,125812,9278,Volkswagen
Volkswagen,Passat,2.0,Diesel,2014,41215,28091,Volkswagen
Toyota,Yaris,1.2,Petrol,2012,46338,13410,Volkswagen
Ford,Focus,2.0,Diesel,2006,79624,12282,Volkswagen
Volkswagen,Golf,1.4,Petrol,1992,221636,1022,Volkswagen
Ford,Mondeo,1.6,Diesel,1998,96536,5666,Volkswagen
Toyota,Yaris,1.2,Hybrid,2009,104086,8904,Volkswagen
Toyota,RAV4,2.4,Hybrid,1998,96191,9790,Volkswagen
BMW,Z4,2.4,Petrol,2007,90842,13973,Volkswagen
Ford,Fiesta,1.0,Petrol,2002,89062,4090,Volkswagen
Volkswagen,Passat,1.4,Diesel,2020,12899,41170,Volkswagen
Toyota,Yaris,1.0,Petrol,1995,171941,1550,Volkswagen
Toyota,RAV4,2.4,Hybrid,2016,26544,51026,Volkswagen
Toyota,Prius,1.4,Hybrid,2022,4674,55652,Volkswagen
Ford,Focus,2.0,Petrol,1996,190008,2513,Volkswagen
Volkswagen,Polo,1.6,Petrol,1987,124215,1504,Volkswagen
Volkswagen,Polo,2.0,Petrol,1999,160583,2792,Volkswagen
Volkswagen,Golf,2.0,Diesel,2014,32794,23690,Volkswagen
Volkswagen,Passat,1.8,Petrol,2007,70409,13219,Volkswagen
Porsche,Cayenne,3.5,Petrol,2005,123589,16570,Volkswagen
Ford,Fiesta,1.4,Petrol,2008,89346,7205,Volkswagen
Toyota,RAV4,2.2,Hybrid,2003,116646,11236,Volkswagen
Ford,Fiesta,1.0,Petrol,1988,216488,569,Volkswagen
Volkswagen,Passat,2.0,Diesel,1997,245011,1803,Volkswagen
Toyota,RAV4,1.8,Petrol,2012,63636,22489,Volkswagen
Ford,Fiesta,1.4,Petrol,2014,34112,15380,Volkswagen
Volkswagen,Passat,1.4,Diesel,2002,99962,7130,Volkswagen
Volkswagen,Polo,1.2,Petrol,2013,25706,14347,Volkswagen
Toyota,Yaris,1.4,Petrol,2013,59295,14271,Volkswagen
Ford,Focus,1.8,Diesel,1989,309010,525,Volkswagen
Ford,Fiesta,1.2,Petrol,2004,155142,3076,Volkswagen
Ford,Mondeo,1.8,Petrol,2001,90140,7319,Volkswagen
Volkswagen,Passat,1.4,Diesel,1992,122101,3099,Volkswagen
Volkswagen,Polo,1.0,Petrol,1988,277988,331,Volkswagen
BMW,Z4,2.0,Petrol,1985,247639,794,Volkswagen
Porsche,718 Cayman,2.4,Petrol,2005,117122,12179,Volkswagen
Volkswagen,Golf,1.4,Petrol,1996,142978,2622,Volkswagen
Ford,Fiesta,1.0,Petrol,2017,43992,14968,Volkswagen
Ford,Mondeo,1.6,Diesel,1994,40180,6307,Volkswagen
Toyota,Yaris,1.4,Hybrid,2012,67769,15158,Volkswagen
Toyota,RAV4,1.8,Hybrid,2011,13065,34097,Volkswagen
Ford,Mondeo,2.0,Hybrid,2000,167908,4715,Volkswagen
Ford,Focus,1.0,Diesel,1996,228005,1331,Volkswagen
Volkswagen,Polo,2.0,Petrol,2016,28203,22306,Volkswagen
Volkswagen,Polo,2.0,Petrol,1994,191287,1539,Volkswagen
Ford,Focus,2.0,Diesel,2015,37479,29331,Volkswagen
Toyota,RAV4,2.0,Hybrid,1993,234066,2033,Volkswagen
Ford,Mondeo,1.8,Diesel,2012,93986,15566,Volkswagen
Toyota,Yaris,1.0,Petrol,2004,86320,5517,Volkswagen
Ford,Focus,1.6,Petrol,1997,87309,5442,Volkswagen
BMW,M5,5.0,Petrol,1995,154248,10019,Volkswagen
Toyota,RAV4,2.0,Petrol,2003,134376,7777,Volkswagen
Ford,Focus,1.8,Petrol,2002,133563,5693,Volkswagen
Ford,Fiesta,1.4,Petrol,2010,110843,7035,Volkswagen
Volkswagen,Polo,2.0,Petrol,2022,7854,37179,Volkswagen
BMW,Z4,2.2,Petrol,1988,274969,788,Volkswagen
Ford,Fiesta,1.0,Petrol,2007,87016,5791,Volkswagen
Toyota,Yaris,1.0,Hybrid,2005,184975,3241,Volkswagen
Volkswagen,Golf,2.0,Hybrid,1992,234299,1307,Volkswagen
Volkswagen,Passat,1.8,Petrol,2008,73187,13869,Volkswagen
Volkswagen,Passat,1.6,Diesel,1990,116877,3018,Volkswagen
Ford,Fiesta,1.4,Petrol,1991,202049,935,Volkswagen
Ford,Focus,1.4,Diesel,2013,97829,14404,Volkswagen
Volkswagen,Polo,1.2,Petrol,1988,233343,549,Volkswagen
Ford,Mondeo,1.6,Hybrid,2001,170573,4408,Volkswagen
Ford,Fiesta,1.2,Petrol,1995,298578,464,Volkswagen
Toyota,Yaris,1.2,Hybrid,2000,144229,3579,Volkswagen
Volkswagen,Passat,1.6,Petrol,2007,88392,11012,Volkswagen
Volkswagen,Polo,1.0,Petrol,1994,212205,905,Volkswagen
Ford,Fiesta,1.0,Petrol,2007,121131,4501,Volkswagen
Volkswagen,Polo,1.6,Petrol,2013,50770,14274,Volkswagen
Volkswagen,Polo,1.2,Petrol,1989,171325,1014,Volkswagen
BMW,X3,3.0,Diesel,2014,43077,37659,Volkswagen
Toyota,RAV4,2.2,Hybrid,2019,17621,62699,Volkswagen
Toyota,RAV4,2.0,Hybrid,2003,95647,12522,Volkswagen
BMW,M5,5.0,Petrol,2019,24814,123459,Volkswagen
Toyota,Prius,1.0,Hybrid,2011,54672,16961,Volkswagen
Volkswagen,Passat,1.6,Petrol,2001,192430,3216,Volkswagen
Toyota,Prius,1.4,Hybrid,1986,261605,704,Volkswagen
Volkswagen,Passat,1.8,Petrol,2006,76364,11879,Volkswagen
Volkswagen,Golf,1.8,Petrol,1994,194220,1689,Volkswagen
Ford,Mondeo,1.4,Hybrid,2001,144815,5104,Volkswagen
Ford,Mondeo,1.6,Diesel,2015,53946,23501,Volkswagen
Toyota,RAV4,2.0,Hybrid,1998,163996,5251,Volkswagen
BMW,Z4,3.0,Petrol,2010,73016,21594,Volkswagen
Toyota,Yaris,1.0,Hybrid,2008,64045,10056,Volkswagen
Volkswagen,Passat,1.8,Diesel,1999,162999,4031,Volkswagen
BMW,Z4,2.4,Petrol,2016,30962,37502,Volkswagen
Volkswagen,Golf,1.8,Hybrid,2005,121611,7696,Volkswagen
Ford,Mondeo,1.4,Hybrid,1995,184038,2463,Volkswagen
Ford,Focus,1.4,Petrol,1991,40866,4624,Volkswagen
Volkswagen,Golf,2.0,Petrol,2021,4229,42054,Volkswagen
Ford,Fiesta,1.0,Petrol,2008,104775,5444,Volkswagen
Ford,Focus,1.6,Diesel,2000,236466,2035,Volkswagen
BMW,X3,3.0,Petrol,1997,119385,6817,Volkswagen
Volkswagen,Golf,1.8,Petrol,2015,49421,20703,Volkswagen
Porsche,718 Cayman,2.4,Petrol,2006,140170,10868,Volkswagen
Volkswagen,Passat,2.0,Diesel,1990,234644,1243,Volkswagen
Ford,Mondeo,2.0,Diesel,1985,296893,471,Volkswagen
Volkswagen,Golf,1.2,Diesel,2001,129459,3962,Volkswagen
Ford,Mondeo,1.8,Diesel,1998,169902,3368,Volkswagen
Ford,Mondeo,1.4,Hybrid,2006,140646,7367,Volkswagen
Ford,Focus,1.6,Petrol,2013,43542,21085,Volkswagen
Toyota,RAV4,2.0,Hybrid,2000,151702,6644,Volkswagen
Volkswagen,Polo,1.4,Petrol,1995,215451,1112,Volkswagen
Volkswagen,Polo,2.0,Petrol,2018,26914,25675,Volkswagen
Toyota,Prius,1.8,Hybrid,2018,30278,42053,Volkswagen
Toyota,Prius,1.0,Hybrid,2013,55314,19301,Volkswagen
Volkswagen,Polo,1.6,Diesel,1995,186840,1606,Volkswagen
Volkswagen,Golf,1.6,Diesel,1985,132222,1540,Volkswagen
Toyota,Yaris,1.2,Hybrid,2001,200274,2380,Volkswagen
Ford,Mondeo,1.6,Diesel,1988,156817,1819,Volkswagen
Ford,Fiesta,1.4,Petrol,1998,174929,1887,Volkswagen
Toyota,RAV4,2.0,Petrol,2016,30451,37961,Volkswagen
Ford,Focus,1.4,Petrol,1999,75142,6328,Volkswagen
Toyota,Yaris,1.2,Hybrid,2013,52010,16607,Volkswagen
Toyota,Yaris,1.0,Petrol,2000,70212,4719,Volkswagen
Ford,Mondeo,1.6,Diesel,2011,55902,17778,Volkswagen
Toyota,RAV4,1.8,Hybrid,2000,148970,6446,Volkswagen
Volkswagen,Passat,1.6,Diesel,2007,88544,11550,Volkswagen
Volkswagen,Golf,1.6,Petrol,2003,89159,6730,Volkswagen
Toyota,Yaris,1.0,Petrol,2007,98462,6177,Volkswagen
Toyota,Prius,1.4,Hybrid,2012,58413,20946,Volkswagen
Toyota,Yaris,1.2,Petrol,1998,227917,1268,Volkswagen
BMW,M5,5.0,Petrol,2013,49117,71680,Volkswagen
Toyota,Yaris,1.0,Hybrid,2007,105030,7064,Volkswagen
Toyota,Yaris,1.0,Hybrid,2005,118330,5592,Volkswagen
Toyota,Prius,1.4,Hybrid,2014,70417,22122,Volkswagen
BMW,Z4,2.4,Petrol,2003,112079,9158,Volkswagen
Ford,Mondeo,1.4,Diesel,1998,164015,3121,Volkswagen
Volkswagen,Polo,1.4,Petrol,1993,237343,798,Volkswagen
BMW,Z4,2.4,Petrol,1997,107570,6350,Volkswagen
BMW,X3,2.0,Diesel,2013,79848,22661,Volkswagen
Ford,Mondeo,2.0,Diesel,2015,39734,28675,Volkswagen
Ford,Fiesta,1.2,Petrol,1998,98473,3207,Volkswagen
Porsche,911,2.6,Petrol,1998,214105,6232,Volkswagen
BMW,Z4,2.4,Petrol,2004,179135,5690,Volkswagen
Toyota,RAV4,2.0,Petrol,2016,40447,35795,Volkswagen
Volkswagen,Polo,1.2,Petrol,2013,85901,9789,Volkswagen
Toyota,Yaris,1.2,Hybrid,2018,31556,26218,Volkswagen
Toyota,Yaris,1.2,Hybrid,2016,46332,21011,Volkswagen
Toyota,Prius,1.0,Hybrid,1987,295799,461,Volkswagen
Toyota,RAV4,2.0,Petrol,1990,61467,5546,Volkswagen
Ford,Mondeo,1.6,Diesel,1991,201721,1512,Volkswagen
Toyota,Yaris,1.4,Hybrid,2010,82394,12011,Volkswagen
Toyota,RAV4,2.2,Hybrid,2016,48900,42787,Volkswagen
Volkswagen,Polo,2.0,Petrol,1989,198406,1036,Volkswagen
Toyota,Prius,1.4,Hybrid,1995,264673,1246,Volkswagen
BMW,X3,2.4,Diesel,2004,101946,11639,Volkswagen
Ford,Fiesta,1.2,Petrol,2017,28528,17962,Volkswagen
Porsche,718 Cayman,2.4,Petrol,1992,263768,1444,Volkswagen
Volkswagen,Passat,1.8,Diesel,2002,136942,6092,Volkswagen
Ford,Focus,1.6,Petrol,2012,95478,13955,Volkswagen
Ford,Focus,1.0,Petrol,2014,25731,19777,Volkswagen
Volkswagen,Golf,1.2,Hybrid,2010,87390,11295,Volkswagen
Volkswagen,Golf,1.6,Petrol,2019,26314,29230,Volkswagen
Ford,Focus,1.0,Diesel,2022,8247,38919,Volkswagen
Porsche,718 Cayman,4.0,Petrol,2012,52286,39437,Volkswagen
Ford,Fiesta,1.4,Petrol,2019,32145,21712,Volkswagen
Ford,Mondeo,1.4,Diesel,2008,68031,12583,Volkswagen
Volkswagen,Golf,2.0,Petrol,1988,149613,1742,Volkswagen
Ford,Mondeo,1.8,Petrol,2004,109619,7753,Volkswagen
Toyota,RAV4,2.2,Hybrid,2018,22673,57048,Volkswagen
Toyota,Yaris,1.2,Petrol,2002,132072,3756,Volkswagen
Toyota,Prius,1.0,Hybrid,1997,128826,3932,Volkswagen
Ford,Focus,1.0,Diesel,2011,73232,12660,Volkswagen
Volkswagen,Golf,1.6,Petrol,2006,116513,6721,Volkswagen
Ford,Focus,2.0,Petrol,2015,54677,25138,Volkswagen
BMW,Z4,3.0,Petrol,2010,109342,16667,Volkswagen
Ford,Fiesta,1.4,Petrol,2017,40170,18124,Volkswagen
Volkswagen,Passat,1.6,Diesel,1988,184189,1524,Volkswagen
Volkswagen,Golf,1.8,Diesel,1985,192455,988,Volkswagen
Volkswagen,Golf,1.2,Hybrid,1987,196325,1019,Volkswagen
Volkswagen,Passat,1.4,Petrol,2019,8884,37465,Volkswagen
Ford,Mondeo,1.8,Hybrid,1996,110804,5410,Volkswagen
Toyota,Prius,1.0,Hybrid,2015,31595,25468,Volkswagen
Porsche,911,2.6,Petrol,2011,63163,48937,Volkswagen
Volkswagen,Golf,1.4,Petrol,2000,179066,2534,Volkswagen
Volkswagen,Golf,2.0,Petrol,2004,128287,6004,Volkswagen
Volkswagen,Golf,1.2,Petrol,1999,164863,2476,Volkswagen
Ford,Fiesta,1.0,Petrol,2000,164580,1988,Volkswagen
Toyota,RAV4,2.2,Hybrid,1988,128633,3767,Volkswagen
BMW,X3,3.0,Petrol,2001,127489,8359,Volkswagen
Toyota,RAV4,1.8,Petrol,1995,218176,2121,Volkswagen
BMW,M5,5.0,Petrol,2020,13591,140340,Volkswagen
Volkswagen,Polo,1.2,Petrol,1987,174366,865,Volkswagen
Ford,Focus,1.0,Diesel,2016,46034,21055,Volkswagen
Volkswagen,Golf,1.8,Petrol,2009,65079,12556,Volkswagen
Ford,Focus,2.0,Hybrid,2000,160457,5065,Volkswagen
Ford,Mondeo,1.4,Diesel,1994,59135,5244,Volkswagen
Toyota,Yaris,1.0,Petrol,2010,62922,9645,Volkswagen
Toyota,RAV4,2.4,Hybrid,1989,165700,3112,Volkswagen
Volkswagen,Golf,1.8,Petrol,2001,122489,4879,Volkswagen
Ford,Fiesta,1.0,Petrol,2009,152135,4018,Volkswagen
Volkswagen,Golf,1.6,Petrol,2019,11371,31720,Volkswagen
Toyota,Prius,1.0,Hybrid,1996,206447,1916,Volkswagen
Toyota,Yaris,1.4,Petrol,1987,196455,871,Volkswagen
Toyota,Yaris,1.4,Hybrid,2002,238330,1951,Volkswagen
Volkswagen,Golf,2.0,Petrol,2000,195906,2618,Volkswagen
Toyota,Yaris,1.4,Petrol,1991,136143,1886,Volkswagen
Volkswagen,Polo,1.2,Petrol,2021,18111,25509,Volkswagen
Porsche,911,3.5,Petrol,1987,106439,8469,Volkswagen
Volkswagen,Passat,1.4,Diesel,2022,1757,49838,Volkswagen
Volkswagen,Golf,1.6,Petrol,2006,118638,6613,Volkswagen
Ford,Focus,1.4,Petrol,2001,86307,6693,Volkswagen
Toyota,RAV4,2.2,Hybrid,1985,49418,5399,Volkswagen
Toyota,Yaris,1.4,Petrol,2007,87488,7907,Volkswagen
Porsche,911,2.2,Petrol,1991,197665,4159,Volkswagen
Toyota,RAV4,1.8,Hybrid,2003,82270,13061,Volkswagen
Ford,Fiesta,1.0,Petrol,2014,78294,9812,Volkswagen
Volkswagen,Golf,1.6,Diesel,2006,127627,6477,Volkswagen
Toyota,RAV4,2.2,Hybrid,2018,47760,49236,Volkswagen
Toyota,RAV4,2.0,Hybrid,2009,51939,25102,Volkswagen
Volkswagen,Passat,1.4,Petrol,1996,183071,2337,Volkswagen
Volkswagen,Passat,2.0,Diesel,2009,125042,11247,Volkswagen
Ford,Mondeo,1.6,Diesel,1989,136406,2295,Volkswagen
Toyota,RAV4,2.4,Hybrid,2012,79790,27957,Volkswagen
Toyota,RAV4,1.8,Hybrid,2007,106894,14282,Volkswagen
Ford,Focus,1.8,Diesel,1998,12500,10309,Volkswagen
Ford,Focus,1.6,Diesel,1996,176319,2656,Volkswagen
Volkswagen,Passat,2.0,Diesel,1990,230122,1295,Volkswagen
Toyota,Prius,1.0,Hybrid,1990,169747,1765,Volkswagen
BMW,M5,5.0,Petrol,2011,44805,64419,Volkswagen
Ford,Mondeo,1.8,Diesel,2018,10769,39108,Volkswagen
Ford,Fiesta,1.0,Petrol,2011,82739,7791,Volkswagen
BMW,X3,2.4,Diesel,1994,131248,4779,Volkswagen
Volkswagen,Passat,1.4,Diesel,2005,107185,8257,Volkswagen
Ford,Mondeo,1.4,Diesel,2015,50016,22532,Volkswagen
Toyota,RAV4,2.2,Hybrid,2017,52430,44740,Volkswagen
Ford,Fiesta,1.2,Petrol,2001,92067,4102,Volkswagen
Ford,Focus,1.0,Petrol,2007,29886,12112,Volkswagen
Ford,Mondeo,1.4,Petrol,2004,142454,5295,Volkswagen
Volkswagen,Polo,2.0,Petrol,2014,57842,16313,Volkswagen
BMW,M5,4.0,Petrol,1993,179523,6340,Volkswagen
Toyota,RAV4,1.8,Hybrid,2001,178452,5384,Volkswagen
Porsche,718 Cayman,4.0,Petrol,2004,119662,14426,Volkswagen
Toyota,Prius,1.0,Hybrid,2004,42803,11447,Volkswagen
Ford,Fiesta,1.0,Petrol,1988,187561,734,Volkswagen
